"Date","Price","Open","High","Low","Vol.","Change %"
"06/29/2007","2,915.88","2,904.36","2,986.01","2,889.64","2.25B","-1.81%"
"06/28/2007","2,969.49","3,063.24","3,099.16","2,968.99","2.90B","-2.87%"
"06/27/2007","3,057.34","2,977.19","3,068.32","2,956.81","2.42B","3.07%"
"06/26/2007","2,966.24","2,892.03","2,968.39","2,860.72","2.01B","0.81%"
"06/25/2007","2,942.29","3,054.28","3,082.82","2,927.78","2.68B","-3.13%"
"06/22/2007","3,037.51","3,114.82","3,146.00","2,982.23","2.87B","-2.33%"
"06/21/2007","3,109.91","3,048.37","3,118.67","3,043.30","2.62B","1.66%"
"06/20/2007","3,059.16","3,133.31","3,150.49","3,050.43","2.81B","-2.34%"
"06/19/2007","3,132.30","3,123.89","3,155.97","3,100.83","2.93B","-0.04%"
"06/18/2007","3,133.53","3,090.17","3,154.26","3,087.80","3.65B","3.22%"
"06/15/2007","3,035.78","2,984.27","3,046.71","2,973.96","2.53B","0.85%"
"06/14/2007","3,010.16","3,036.35","3,050.99","2,982.81","2.91B","-1.17%"
"06/13/2007","3,045.94","3,007.65","3,058.49","3,000.91","4.20B","2.11%"
"06/12/2007","2,982.90","2,930.43","2,984.07","2,859.60","3.47B","2.21%"
"06/11/2007","2,918.30","2,875.11","2,924.18","2,856.99","3.37B","2.18%"
"06/08/2007","2,856.02","2,861.81","2,875.50","2,812.94","3.09B","-0.02%"
"06/07/2007","2,856.54","2,797.23","2,857.31","2,786.77","3.33B","2.70%"
"06/06/2007","2,781.32","2,788.97","2,814.06","2,713.08","3.21B","0.10%"
"06/05/2007","2,778.66","2,638.42","2,780.75","2,493.31","4.29B","3.08%"
"06/04/2007","2,695.76","2,923.41","2,935.88","2,685.73","4.03B","-7.25%"
"06/01/2007","2,906.59","2,963.47","3,055.87","2,885.52","5.17B","-1.15%"
"05/31/2007","2,940.37","2,838.10","2,986.53","2,748.06","5.51B","2.92%"
"05/30/2007","2,857.00","2,875.79","3,000.94","2,828.86","5.72B","-6.34%"
"05/29/2007","3,050.44","3,009.44","3,051.07","3,002.91","4.41B","1.72%"
"05/28/2007","2,998.86","2,976.76","3,012.60","2,968.91","4.50B","1.92%"
"05/25/2007","2,942.51","2,894.70","2,958.74","2,881.49","3.42B","1.23%"
"05/24/2007","2,906.82","2,927.49","2,949.88","2,866.94","4.22B","-0.45%"
"05/23/2007","2,919.94","2,887.64","2,920.76","2,862.49","3.52B","1.29%"
"05/22/2007","2,882.66","2,873.31","2,903.85","2,869.01","3.85B","0.63%"
"05/21/2007","2,864.70","2,763.77","2,875.02","2,757.57","3.92B","0.36%"
"05/18/2007","2,854.32","2,862.94","2,875.62","2,835.98","2.84B","-0.64%"
"05/17/2007","2,872.79","2,837.72","2,888.45","2,825.21","3.18B","1.56%"
"05/16/2007","2,828.53","2,764.26","2,829.53","2,731.82","3.11B","2.09%"
"05/15/2007","2,770.66","2,888.91","2,895.32","2,768.93","3.89B","-3.98%"
"05/14/2007","2,885.51","2,823.46","2,919.44","2,803.53","3.96B","0.61%"
"05/11/2007","2,867.97","2,868.63","2,880.86","2,809.70","3.68B","-0.62%"
"05/10/2007","2,885.72","2,864.10","2,903.71","2,844.49","5.17B","0.89%"
"05/09/2007","2,860.31","2,833.34","2,867.09","2,760.22","6.57B","1.03%"
"05/08/2007","2,831.26","2,827.12","2,849.59","2,795.74","4.09B","2.66%"
"04/30/2007","2,757.83","2,715.89","2,768.95","2,694.24","3.49B","2.85%"
"04/27/2007","2,681.30","2,706.36","2,717.97","2,654.95","3.08B","-0.77%"
"04/26/2007","2,702.13","2,696.40","2,711.41","2,664.76","3.07B","0.86%"
"04/25/2007","2,679.08","2,649.67","2,695.39","2,608.74","4.37B","0.75%"
"04/24/2007","2,659.21","2,673.98","2,693.58","2,640.27","4.32B","0.29%"
"04/23/2007","2,651.43","2,573.99","2,651.61","2,570.48","4.70B","4.08%"
"04/20/2007","2,547.50","2,465.74","2,553.53","2,465.74","3.54B","3.87%"
"04/19/2007","2,452.55","2,555.08","2,558.79","2,380.32","4.51B","-4.14%"
"04/18/2007","2,558.52","2,578.85","2,578.85","2,530.41","3.77B","-0.72%"
"04/17/2007","2,577.01","2,595.05","2,603.70","2,504.10","3.56B","-0.32%"
"04/16/2007","2,585.34","2,519.66","2,586.80","2,519.33","3.32B","2.68%"
"04/13/2007","2,517.79","2,538.40","2,551.06","2,507.58","3.75B","-0.68%"
"04/12/2007","2,535.10","2,513.85","2,540.54","2,502.18","3.37B","1.06%"
"04/11/2007","2,508.47","2,486.97","2,514.02","2,464.21","4.19B","1.40%"
"04/10/2007","2,473.76","2,459.41","2,479.20","2,419.84","4.25B","1.26%"
"04/09/2007","2,442.93","2,398.86","2,443.10","2,398.86","3.47B","2.19%"
"04/06/2007","2,390.64","2,369.89","2,399.83","2,361.36","2.94B","-0.08%"
"04/05/2007","2,392.64","2,367.42","2,398.47","2,352.92","2.88B","0.84%"
"04/04/2007","2,372.66","2,367.92","2,386.15","2,350.86","2.97B","0.41%"
"04/03/2007","2,362.98","2,352.38","2,367.71","2,337.77","3.08B","0.87%"
"04/02/2007","2,342.53","2,299.49","2,343.20","2,299.49","3.04B","2.37%"
"03/30/2007","2,288.26","2,287.71","2,313.48","2,274.72","2.84B","-0.57%"
"03/29/2007","2,301.48","2,285.02","2,351.35","2,281.25","5.81B","1.03%"
"03/28/2007","2,277.97","2,240.24","2,280.57","2,184.40","5.19B","1.82%"
"03/27/2007","2,237.22","2,234.63","2,244.21","2,216.80","3.01B","0.32%"
"03/26/2007","2,230.00","2,204.77","2,230.83","2,188.92","2.86B","1.36%"
"03/23/2007","2,200.04","2,206.54","2,220.37","2,151.88","2.81B","-0.38%"
"03/22/2007","2,208.47","2,212.16","2,228.32","2,199.78","3.19B","0.71%"
"03/21/2007","2,192.93","2,182.45","2,204.07","2,170.93","2.14B","0.82%"
"03/20/2007","2,175.13","2,184.31","2,187.23","2,152.96","2.22B","-0.05%"
"03/19/2007","2,176.15","2,060.76","2,195.28","2,054.93","3.41B","3.25%"
"03/16/2007","2,107.63","2,145.92","2,154.73","2,085.36","2.78B","-1.42%"
"03/15/2007","2,138.05","2,098.64","2,138.92","2,098.64","2.11B","1.78%"
"03/14/2007","2,100.56","2,119.87","2,123.01","2,074.50","2.31B","-2.30%"
